"datetime";"value"
2017-01-16 13:00:00;36331.5
2017-01-16 14:00:00;35417.5
2017-01-16 15:00:00;35121.5
2017-01-16 16:00:00;34273
2017-01-16 17:00:00;34781.7
2017-01-16 18:00:00;36904.6
2017-01-16 19:00:00;38218.2
2017-01-16 20:00:00;38689.5
2017-01-16 21:00:00;37330.5
2017-01-16 22:00:00;34983.1
2017-01-16 23:00:00;31470
2017-01-17 00:00:00;28578.5
2017-01-17 01:00:00;26085.5
2017-01-17 02:00:00;25022
2017-01-17 03:00:00;24454.7
2017-01-17 04:00:00;24481.5
2017-01-17 05:00:00;25290
2017-01-17 06:00:00;28022.6
2017-01-17 07:00:00;32902.8
2017-01-17 08:00:00;36446.5
2017-01-17 09:00:00;37530.3
2017-01-17 10:00:00;37918.2
2017-01-17 11:00:00;37727
2017-01-17 12:00:00;37341.4
2017-01-17 13:00:00;36890.7
2017-01-17 14:00:00;35775.1
2017-01-17 15:00:00;35437.2
2017-01-17 16:00:00;35047.9
2017-01-17 17:00:00;35655.9
2017-01-17 18:00:00;37103
2017-01-17 19:00:00;39618.6
2017-01-17 20:00:00;39198.1
2017-01-17 21:00:00;39262.8
2017-01-17 22:00:00;36444.8
2017-01-17 23:00:00;32533.5
2017-01-18 00:00:00;29560.1
2017-01-18 01:00:00;27212.7
2017-01-18 02:00:00;25696.1
2017-01-18 03:00:00;25377.4
2017-01-18 04:00:00;25356.4
2017-01-18 05:00:00;25811.7
2017-01-18 06:00:00;28288.6
2017-01-18 07:00:00;34089.6
2017-01-18 08:00:00;37884.7
2017-01-18 09:00:00;39333.9
2017-01-18 10:00:00;39873.2
2017-01-18 11:00:00;39887.1
2017-01-18 12:00:00;39478.7
2017-01-18 13:00:00;39349.7
2017-01-18 14:00:00;38460.1
2017-01-18 15:00:00;37826.8
2017-01-18 16:00:00;37545.2
2017-01-18 17:00:00;38382.5
2017-01-18 18:00:00;40660.7
2017-01-18 19:00:00;41297.9
2017-01-18 20:00:00;40990.5
2017-01-18 21:00:00;40474.1
2017-01-18 22:00:00;36686.6
2017-01-18 23:00:00;33268.6
2017-01-19 00:00:00;30113.8
2017-01-19 01:00:00;27346.7
2017-01-19 02:00:00;26162.8
2017-01-19 03:00:00;25482.2
2017-01-19 04:00:00;25559.4
2017-01-19 05:00:00;26215.1
