"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A"
"SP1","05/11/16","Sociedad","Ath Madrid",2,0,"H",12,9,3,2,18,20,6,6,2,4,0,0,5.75,3.6,1.67
"SP1","06/11/16","Celta","Valencia",2,1,"H",7,13,4,4,19,15,4,3,6,1,0,0,2.25,3.4,3.2
"SP1","06/11/16","Espanol","Ath Bilbao",0,0,"D",6,4,3,0,13,11,5,3,1,2,0,0,3,3.2,2.5
"SP1","06/11/16","Real Madrid","Leganes",3,0,"H",17,7,7,3,7,20,2,2,3,5,0,0,1.07,13,23
"SP1","06/11/16","Sevilla","Barcelona",1,2,"A",15,14,4,7,18,12,3,5,4,6,0,0,5.25,4.2,1.62
"SP1","06/11/16","Villarreal","Betis",2,0,"H",15,7,7,3,16,12,10,1,0,2,0,0,1.5,4.2,7
"SP1","18/11/16","Betis","Las Palmas",2,0,"H",10,9,3,3,22,10,4,5,0,1,0,0,2.35,3.4,3.1
"SP1","19/11/16","Ath Madrid","Real Madrid",0,3,"A",16,12,5,7,21,14,8,6,4,2,0,0,2.5,3.3,2.9
"SP1","19/11/16","Barcelona","Malaga",0,0,"D",28,4,8,1,13,12,14,1,0,2,0,2,1.13,9,21
"SP1","19/11/16","Eibar","Celta",1,0,"H",12,6,5,2,11,13,7,0,2,5,0,2,2.38,3.25,3.1
"SP1","19/11/16","La Coruna","Sevilla",2,3,"A",4,20,3,7,15,12,3,14,3,2,0,0,3.3,3.4,2.2
"SP1","20/11/16","Alaves","Espanol",0,1,"A",10,10,4,3,20,14,2,5,5,2,0,0,2.5,3.1,3.1
"SP1","20/11/16","Ath Bilbao","Villarreal",1,0,"H",12,6,5,2,13,17,6,5,0,2,0,0,2.15,3.3,3.5
"SP1","20/11/16","Sp Gijon","Sociedad",1,3,"A",4,20,1,9,17,9,3,5,2,1,0,0,3.4,3.3,2.2
"SP1","20/11/16","Valencia","Granada",1,1,"D",14,9,7,5,7,18,11,2,1,5,0,0,1.33,5.5,8.5
"SP1","21/11/16","Leganes","Osasuna",2,0,"H",15,5,5,2,13,17,3,2,2,3,0,0,1.85,3.5,4.5
"SP1","25/11/16","Eibar","Betis",3,1,"H",16,7,9,2,11,7,5,1,0,1,0,1,1.95,3.4,4.2
"SP1","26/11/16","Espanol","Leganes",3,0,"H",8,8,4,3,19,16,3,4,1,2,0,0,1.85,3.4,4.75
"SP1","26/11/16","Malaga","La Coruna",4,3,"H",10,24,4,8,15,13,2,5,3,1,0,0,2,3.25,4.2
"SP1","26/11/16","Real Madrid","Sp Gijon",2,1,"H",19,9,7,3,19,18,5,6,1,3,0,0,1.06,13,34
"SP1","26/11/16","Sevilla","Valencia",2,1,"H",6,10,1,4,19,14,3,6,0,1,0,0,1.73,3.75,5
"SP1","27/11/16","Celta","Granada",3,1,"H",16,7,6,1,4,15,5,0,0,3,0,0,1.53,4,7
"SP1","27/11/16","Osasuna","Ath Madrid",0,3,"A",11,7,1,5,9,6,7,4,2,2,0,0,11,5.25,1.3
"SP1","27/11/16","Sociedad","Barcelona",1,1,"D",17,10,6,2,16,11,8,6,2,4,0,0,7,4.75,1.44
"SP1","27/11/16","Villarreal","Alaves",0,2,"A",23,10,10,7,11,19,12,1,2,3,0,0,1.5,4,7.5
"SP1","28/11/16","Las Palmas","Ath Bilbao",3,1,"H",10,10,4,3,19,21,5,3,3,4,0,1,2.5,3.4,2.8
"SP1","03/12/16","Ath Madrid","Espanol",0,0,"D",11,5,3,3,10,19,9,2,2,2,0,0,1.22,6,15
"SP1","03/12/16","Barcelona","Real Madrid",1,1,"D",11,14,2,5,19,16,5,7,4,2,0,0,1.85,4.2,4.2
"SP1","03/12/16","Granada","Sevilla",2,1,"H",11,17,6,6,18,16,4,8,5,2,0,0,4.75,3.5,1.8
"SP1","03/12/16","Leganes","Villarreal",0,0,"D",11,9,4,3,21,16,2,4,6,3,0,0,3.8,2.9,2.25
"SP1","04/12/16","Alaves","Las Palmas",1,1,"D",9,10,2,3,15,11,3,5,3,3,0,0,2.5,3.2,3
"SP1","04/12/16","Ath Bilbao","Eibar",3,1,"H",12,10,5,4,9,16,2,2,1,4,0,0,1.85,3.4,4.75
"SP1","04/12/16","Betis","Celta",3,3,"D",16,13,5,6,22,14,4,3,4,1,1,0,2.38,3.25,3.1
"SP1","04/12/16","Sp Gijon","Osasuna",3,1,"H",9,15,5,2,17,13,2,5,3,1,0,0,2,3.3,4
"SP1","04/12/16","Valencia","Malaga",2,2,"D",8,19,3,6,16,7,2,13,5,1,0,0,1.75,3.6,5
"SP1","05/12/16","La Coruna","Sociedad",5,1,"H",15,14,10,3,15,10,8,6,1,4,0,0,3.1,3.1,2.5
"SP1","09/12/16","Malaga","Granada",1,1,"D",16,8,7,2,16,14,6,2,3,5,0,0,1.6,4,5.75
"SP1","10/12/16","Las Palmas","Leganes",1,1,"D",5,11,1,6,17,18,6,4,3,3,0,0,1.8,3.5,4.75
"SP1","10/12/16","Osasuna","Barcelona",0,3,"A",4,17,1,6,18,6,2,5,3,0,0,0,15,7.5,1.18
"SP1","10/12/16","Real Madrid","La Coruna",3,2,"H",17,4,5,2,16,17,10,3,3,4,0,0,1.17,8,15
"SP1","10/12/16","Sociedad","Valencia",3,2,"H",14,9,6,3,17,20,8,4,4,4,0,1,1.91,3.75,3.8
"SP1","11/12/16","Betis","Ath Bilbao",1,0,"H",6,14,1,4,14,12,3,7,3,2,0,0,3.1,3.25,2.38
"SP1","11/12/16","Celta","Sevilla",0,3,"A",14,14,6,5,13,13,4,6,3,3,0,0,2.75,3.3,2.63
"SP1","11/12/16","Eibar","Alaves",0,0,"D",8,3,1,3,14,7,7,2,1,1,0,0,1.83,3.6,4.5
"SP1","11/12/16","Espanol","Sp Gijon",2,1,"H",12,13,6,5,13,10,4,3,1,2,0,0,1.73,3.75,5
"SP1","12/12/16","Villarreal","Ath Madrid",3,0,"H",9,13,5,3,13,13,2,7,3,3,0,0,4.5,3.5,1.85
"SP1","16/12/16","Alaves","Betis",1,0,"H",10,6,2,3,20,6,6,4,6,1,0,0,2.3,3.1,3.4
"SP1","17/12/16","Ath Madrid","Las Palmas",1,0,"H",16,11,3,3,15,11,8,5,2,1,0,0,1.29,5.5,9.5
"SP1","17/12/16","Granada","Sociedad",0,2,"A",10,18,4,6,9,11,5,9,0,1,0,0,3.75,3.4,2
"SP1","17/12/16","Sevilla","Malaga",4,1,"H",9,16,5,3,17,12,3,6,2,3,1,0,1.5,4.1,6.5
"SP1","17/12/16","Sp Gijon","Villarreal",1,3,"A",16,14,7,9,16,14,12,2,2,1,0,0,3.25,3.3,2.2
"SP1","18/12/16","Barcelona","Espanol",4,1,"H",14,4,7,1,11,16,5,2,0,3,0,0,1.1,10,26
